Player,NFL Team,Position,Cost,Team
JuJu Smith-Schuster ,Pit ,WR ,$20.00,AiggsAiggcute
Odell Beckham Jr. ,Cle ,WR ,$59.00,Keep Gronk & Kerryon
New Orleans ,NO ,DEF ,$1.00,LeJizz LeRoux
Antonio Brown ,Oak ,WR ,$66.00,En-Saquonpedia Brown
Justin Tucker ,Bal ,K ,$1.00,Keep Gronk & Kerryon
Rob Gronkowski ,NE ,TE ,$50.00,Keep Gronk & Kerryon
Stephen Gostkowski ,NE ,K ,$2.00,Runningbackhanders
Stefon Diggs ,Min ,WR ,$31.00,Keep Gronk & Kerryon
DeAndre Hopkins ,Hou ,WR ,$57.00,My Cousin Kurt
Christian McCaffrey ,Car ,RB ,$49.00,Lane Johnson's Juice
Greg Zuerlein ,LAR ,K ,$2.00,AiggsAiggcute
Saquon Barkley ,NYG ,RB ,$59.00,En-Saquonpedia Brown
David Johnson ,Ari ,RB ,$70.00,3 Edelman in a loaf
Jacksonville ,Jax ,DEF ,$4.00,JuJu Smith-Schlusta
Ezekiel Elliott ,Dal ,RB ,$69.00,Runningbackhanders
Travis Kelce ,KC ,TE ,$36.00,My Friend Broos
Leonard Fournette ,Jax ,RB ,$62.00,JasonKelceStringBand
Aaron Rodgers ,GB ,QB ,$37.00,AiggsAiggcute
Todd Gurley II ,LAR ,RB ,$78.00,GOFF TROOP
Alvin Kamara ,NO ,RB ,$63.00,My Friend Broos
Matt Bryant ,Atl ,K ,$1.00,GOFF TROOP
Demaryius Thomas ,NE ,WR ,$19.00,En-Saquonpedia Brown
Philip Rivers ,LAC ,QB ,$14.00,My Cousin Kurt
Le'Veon Bell ,NYJ ,RB ,$77.00,3 Edelman in a loaf
Los Angeles ,LAR ,DEF ,$4.00,GOFF TROOP
Melvin Gordon III ,LAC ,RB ,$66.00,LeJizz LeRoux
Julio Jones ,Atl ,WR ,$51.00,My Friend Broos
Wil Lutz ,NO ,K ,$1.00,Lane Johnson's Juice
Kareem Hunt ,Cle ,RB ,$64.00,Straight-Up G
A.J. Green ,Cin ,WR ,$50.00,JasonKelceStringBand
Dalvin Cook ,Min ,RB ,$59.00,Straight-Up G
Tom Brady ,NE ,QB ,$24.00,GOFF TROOP
Michael Thomas ,NO ,WR ,$47.00,JuJu Smith-Schlusta
Jordan Howard ,Phi ,RB ,$51.00,A Team Has No Name
Chris Hogan ,Car ,WR ,$29.00,My Cousin Kurt
Zach Ertz ,Phi ,TE ,$35.00,JasonKelceStringBand
Devonta Freeman ,Atl ,RB ,$53.00,LeJizz LeRoux
Kenyan Drake ,Mia ,RB ,$32.00,JuJu Smith-Schlusta
Philadelphia ,Phi ,DEF ,$4.00,JasonKelceStringBand
Davante Adams ,GB ,WR ,$53.00,A Team Has No Name
Baltimore ,Bal ,DEF ,$3.00,AiggsAiggcute
Houston ,Hou ,DEF ,$1.00,Lane Johnson's Juice
Jerick McKinnon ,SF ,RB ,$42.00,Lane Johnson's Juice
Josh Gordon ,NE ,WR ,$16.00,JasonKelceStringBand
Joe Mixon ,Cin ,RB ,$36.00,Runningbackhanders
Deshaun Watson ,Hou ,QB ,$18.00,A Team Has No Name
Detroit ,Det ,DEF ,$1.00,Keep Gronk & Kerryon
T.Y. Hilton ,Ind ,WR ,$42.00,Runningbackhanders
Dez Bryant ,NO ,WR ,$2.00,Keep Gronk & Kerryon
Russell Wilson ,Sea ,QB ,$18.00,A Team Has No Name
Royce Freeman ,Den ,RB ,$26.00,AiggsAiggcute
Adam Thielen ,Min ,WR ,$38.00,Straight-Up G
New England ,NE ,DEF ,$1.00,Straight-Up G
Minnesota ,Min ,DEF ,$3.00,Runningbackhanders
Keenan Allen ,LAC ,WR ,$55.00,Lane Johnson's Juice
Kirk Cousins ,Min ,QB ,$13.00,My Cousin Kurt
Jay Ajayi ,Phi ,RB ,$23.00,Keep Gronk & Kerryon
Matt Prater ,Det ,K ,$1.00,JasonKelceStringBand
Larry Fitzgerald ,Ari ,WR ,$33.00,LeJizz LeRoux
Patrick Mahomes ,KC ,QB ,$4.00,JuJu Smith-Schlusta
LeGarrette Blount ,Det ,RB ,$1.00,Keep Gronk & Kerryon
Los Angeles ,LAC ,DEF ,$1.00,A Team Has No Name
Evan Engram ,NYG ,TE ,$10.00,AiggsAiggcute
Corey Davis ,Ten ,WR ,$8.00,Runningbackhanders
Alex Collins ,Bal ,RB ,$33.00,AiggsAiggcute
Tyreek Hill ,KC ,WR ,$37.00,JuJu Smith-Schlusta
Golden Tate ,NYG ,WR ,$19.00,Runningbackhanders
Doug Baldwin ,Sea ,WR ,$37.00,AiggsAiggcute
Amari Cooper ,Dal ,WR ,$38.00,A Team Has No Name
Drew Brees ,NO ,QB ,$22.00,JuJu Smith-Schlusta
Jarvis Landry ,Cle ,WR ,$22.00,My Cousin Kurt
Mike Evans ,TB ,WR ,$46.00,En-Saquonpedia Brown
Daniel Carlson ,Oak ,K ,$1.00,LeJizz LeRoux
Rex Burkhead ,NE ,RB ,$14.00,GOFF TROOP
Corey Clement ,Phi ,RB ,$1.00,Keep Gronk & Kerryon
Jake Elliott ,Phi ,K ,$1.00,A Team Has No Name
Will Fuller V ,Hou ,WR ,$9.00,AiggsAiggcute
Brandin Cooks ,LAR ,WR ,$14.00,My Friend Broos
Dion Lewis ,Ten ,RB ,$21.00,My Cousin Kurt
Allen Robinson II ,Chi ,WR ,$17.00,JuJu Smith-Schlusta
Carson Wentz ,Phi ,QB ,$9.00,JasonKelceStringBand
LeSean McCoy ,Buf ,RB ,$30.00,GOFF TROOP
Alshon Jeffery ,Phi ,WR ,$13.00,AiggsAiggcute
