Pick,Player,Cost,Team
1,Alvin Kamara (NO - RB),$76 ,Singletary McGrue
2,Ezekiel Elliott (Dal - RB),$62 ,DAD POWER
3,Greg Zuerlein (LAR - K),$2 ,DAD POWER
4,David Johnson (Ari - RB),$69 ,Trust the Talc!
5,Saquon Barkley (NYG - RB),$81 ,ComradeGritty
6,Chicago (Chi - DEF),$3 ,DAD POWER
7,James Conner (Pit - RB),$68 ,Cooking with Conner
8,JuJu Smith-Schuster (Pit - WR),$56 ,Mining4Chubbs
9,Los Angeles (LAR - DEF),$2 ,Trust the Talc!
10,Justin Tucker (Bal - K),$2 ,A Lonely Android
11,Amari Cooper (Dal - WR),$31 ,Cooking with Conner
12,Dallas (Dal - DEF),$1 ,LeJizz LeRoux
13,Harrison Butker (KC - K),$2 ,O HENRY!
14,Baltimore (Bal - DEF),$1 ,Mining4Chubbs
15,Patrick Mahomes (KC - QB),$39 ,Straight-Up G
16,Todd Gurley II (LAR - RB),$51 ,2017 Allstars
17,Christian McCaffrey (Car - RB),$85 ,Mining4Chubbs
18,Davante Adams (GB - WR),$58 ,My Cousin Kurt
19,Josh Jacobs (Oak - RB),$31 ,My Cousin Kurt
20,Nick Chubb (Cle - RB),$61 ,A Lonely Android
21,Odell Beckham Jr. (Cle - WR),$57 ,LeJizz LeRoux
22,Zach Ertz (Phi - TE),$39 ,2017 Allstars
23,Travis Kelce (KC - TE),$53 ,Singletary McGrue
24,Wil Lutz (NO - K),$1 ,Trust the Talc!
25,Stephen Gostkowski (NE - K),$1 ,2017 Allstars
26,Giorgio Tavecchio (Atl - K),$1 ,LeJizz LeRoux
27,Deshaun Watson (Hou - QB),$31 ,ComradeGritty
28,Ka'imi Fairbairn (Hou - K),$1 ,Mining4Chubbs
29,New England (NE - DEF),$1 ,2Broos1Kupp
30,George Kittle (SF - TE),$37 ,Dammit Heek
31,Aaron Rodgers (GB - QB),$21 ,A Lonely Android
32,Keenan Allen (LAC - WR),$39 ,2Broos1Kupp
33,Antonio Brown (NE - WR),$41 ,2017 Allstars
34,Le'Veon Bell (NYJ - RB),$63 ,LeJizz LeRoux
35,DeAndre Hopkins (Hou - WR),$65 ,My Cousin Kurt
36,Carson Wentz (Phi - QB),$12 ,2017 Allstars
37,Michael Thomas (NO - WR),$58 ,O HENRY!
38,Kareem Hunt (Cle - RB),$3 ,Trust the Talc!
39,Jacksonville (Jax - DEF),$1 ,2017 Allstars
40,Julio Jones (Atl - WR),$63 ,DAD POWER
41,Tyreek Hill (KC - WR),$61 ,Dammit Heek
42,Adrian Peterson (Was - RB),$4 ,Trust the Talc!
43,Adam Vinatieri (Ind - K),$1 ,2Broos1Kupp
44,Melvin Gordon III (LAC - RB),$31 ,Straight-Up G
