id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,pos_ecr,sd_ecr,risk
0510,Pittsburgh,Steelers,PIT,DST,NA,49,DST,average,8.76,1,0.7833333333333332,1.5616657773031972,7.562,10.28,1,NA,NA,7.465470940421891
0521,Chicago,Bears,CHI,DST,NA,49,DST,average,8.04,2,0.15499999999999936,0.15143755588800775,7.8839999999999995,8.136000000000001,3,NA,NA,2.6319714544092667
0529,New Orleans,Saints,NOS,DST,NA,49,DST,average,7.913333333333333,3,0.10833333333333339,0.6652317891782781,7.366,8.5,4,NA,NA,4.39298015130842
0522,Detroit,Lions,DET,DST,NA,49,DST,average,7.8566666666666665,4,0.11500000000000021,0.9190393535280914,6.950000000000001,8.453,6,NA,NA,5.262895185769894
0507,Cleveland,Browns,CLE,DST,NA,49,DST,average,7.753333333333333,5,0.06666666666666643,0.9124326459160333,6.856,8.296000000000001,7,NA,NA,5.2402509659463306
0513,Oakland,Raiders,OAK,DST,NA,49,DST,average,7.7299999999999995,6,0.13666666666666583,1.137995313405698,6.929,8.819,2,NA,NA,6.013357772928847
0509,Jacksonville,Jaguars,JAC,DST,NA,49,DST,average,7.6433333333333335,7,0.4283333333333337,0.42910760111344237,7.170000000000001,7.872000000000001,5,NA,NA,3.583674165004153
0526,Atlanta,Falcons,ATL,DST,NA,49,DST,average,7.543333333333333,8,0.6749999999999998,0.918495146058668,6.640000000000001,8.197000000000001,8,NA,NA,5.261029936951442
0515,Seattle,Seahawks,SEA,DST,NA,49,DST,average,6.886666666666667,9,0.081666666666667,1.4894741801499387,5.926,8.356,9,NA,NA,7.218037197120017
0517,New York,Giants,NYG,DST,NA,49,DST,average,6.85,10,0.16666666666666607,1.1715374513859989,6.115,8.005,9,NA,NA,6.128322077447483
0531,Baltimore,Ravens,BAL,DST,NA,49,DST,average,6.76,11,0.19666666666666632,1.4651962325913892,5.652,8.19,9,NA,NA,7.134825525942475
0501,Buffalo,Bills,BUF,DST,NA,49,DST,average,6.6066666666666665,12,0.19166666666666554,0.766311511941021,5.939,7.307,10,NA,NA,4.739426762290101
0504,New England,Patriots,NEP,DST,NA,49,DST,average,6.5200000000000005,13,0.22166666666666668,1.670638600455925,4.865,7.826,10,NA,NA,7.838970829801131
0530,San Francisco,49ers,SFO,DST,NA,49,DST,average,6.3100000000000005,14,0.11666666666666714,1.7556480285068525,4.857,7.9799999999999995,11,NA,NA,8.130337163668742
0502,Indianapolis,Colts,IND,DST,NA,49,DST,average,6.286666666666667,15,0.2666666666666675,1.101453585041149,5.134,6.97,11,NA,NA,5.888112495188757
0518,Philadelphia,Eagles,PHI,DST,NA,49,DST,average,6.1,16,0.17666666666666675,0.4582575694955842,5.66,6.470000000000001,12,NA,NA,3.683584488065887
0525,Tampa Bay,Buccaneers,TBB,DST,NA,49,DST,average,5.9399999999999995,17,0.061666666666666536,0.36166282640050235,5.630000000000001,6.2780000000000005,15,NA,NA,3.3525099612541442
0528,Los Angeles,Rams,LAR,DST,NA,49,DST,average,5.906666666666666,18,0.0649999999999995,0.16563010998406463,5.729,6.026,16,NA,NA,2.6806158524483696
0508,Tennessee,Titans,TEN,DST,NA,49,DST,average,5.85,19,0.01666666666666572,0.8280297901243248,5.257000000000001,6.652,13,NA,NA,4.9509636336606215
0520,Washington,Redskins,WAS,DST,NA,49,DST,average,5.833333333333334,20,0.011666666666666714,1.4364307617610164,4.42,6.8500000000000005,16,NA,NA,7.036233052495879
0532,Houston,Texans,HOU,DST,NA,49,DST,average,5.833333333333333,21,0.048333333333332895,0.26457513110645897,5.54,5.99,17,NA,NA,3.0197458609647705
0511,Denver,Broncos,DEN,DST,NA,49,DST,average,5.8100000000000005,22,0.06833333333333336,1.2539138726403822,4.583,6.743,16,NA,NA,6.410663888330443
0503,Miami,Dolphins,MIA,DST,NA,49,DST,average,5.76,23,0.1566666666666663,0.5392587505085104,5.208,6.09,18,NA,NA,3.961212719331531
0505,New York,Jets,NYJ,DST,NA,49,DST,average,5.723333333333334,24,0.3216666666666663,0.9634832639958001,5.083,6.640000000000001,14,NA,NA,5.415224869107592
0523,Green Bay,Packers,GBP,DST,NA,49,DST,average,5.483333333333333,25,0.29666666666666686,0.9372477438400872,4.583,6.239000000000001,19,NA,NA,5.325303698007601
0527,Carolina,Panthers,CAR,DST,NA,49,DST,average,5.32,26,0.5366666666666671,0.7935573913292808,4.606,6.028,20,NA,NA,4.832810898289705
0506,Cincinnati,Bengals,CIN,DST,NA,49,DST,average,5.053333333333333,27,NA,0.4965212315030782,4.57,5.434,21,NA,NA,3.8147316228612644
0516,Dallas,Cowboys,DAL,DST,NA,49,DST,average,4.513333333333334,28,NA,0.4410593308539492,4.166,4.94,22,NA,NA,3.624638229316899
10976,Justin,Tucker,BAL,K,30,7,K,average,6.831142137176156,1,0.2037238284733638,0.7835118595494571,6.045999999999999,7.818020316560359,1,2.2,0.9,3.879147571998762
